lap;VET;WEB;HAM;BUT;ALO;MAS;SCH;ROS;HEI;PET;BAR;MAL;SUT;RES;KOB;PER;BUE;ALG;RIC;TRU;RIC;LIU;GLO;AMB
1;120,073;123,389;120,534;122,823;119,584;122,345;121,354;;132,526;;198,272;125,136;133,924;124,067;136,945;126,009;133,341;126,976;128,639;129,971;325,358;;132,063;170,977
2;262,143;266,778;263,046;265,781;261,575;265,175;264,233;;277,546;;334,83;268,112;276,358;267,439;277,696;268,903;275,942;270,103;272,295;273,396;1424,238;;275,163;
3;401,449;403,721;402,478;403,521;400,968;403,178;402,961;;409,49;;428,987;404,493;408,544;404,324;409,054;405,048;408,134;405,503;406,229;406,372;1518,57;;407,011;
4;492,184;494,715;493,854;495,991;491,806;494,402;493,48;;504,503;;521,861;497,431;503,039;498,326;502,152;499,074;501,328;499,478;500,403;500,633;1613,078;;502,559;
5;582,268;;584,402;587,837;583,31;594,027;583,799;;597,584;;615,479;591,057;596,777;593,312;594,877;593,018;596,01;593,712;594,679;609,527;1706,349;;598,312;
6;671,864;;676,007;678,19;674,703;685,82;675,712;;689,338;;707,718;682,688;689,185;685,547;687,102;685,114;688,245;686,456;688,825;729,09;1800,574;;691,876;
7;760,71;;765,841;768,023;764,281;777,104;765,527;;780,607;;799,792;773,83;782,382;777,712;779,333;776,77;779,897;778,21;783,05;821,055;1894,106;;785,211;
8;849,258;;855,422;857,764;853,537;866,891;855,209;;871,772;;891,918;865,206;873,837;869,332;870,502;868,98;871,386;869,937;875,153;912,683;1990,808;;878,242;
9;937,714;;944,998;947,261;942,833;956,641;944,779;;963,188;;984,413;956,253;965,322;960,635;961,827;959,947;962,506;961,152;967,288;1004,113;2084,247;;971,148;
10;1026,051;;1034,528;1036,301;1032,057;1045,849;1034,252;;1054,153;;1077,037;1048,122;;1051,409;1053,053;1050,671;1053,704;1051,987;1059,317;1096,123;2179,188;;1064,641;
11;1114,64;;1123,993;1125,365;1121,507;1136,195;1123,832;;1145,292;;1169,444;1139,133;;1142,347;1144,107;1141,369;1144,846;1142,978;1151,36;1187,605;2272,664;;1157,638;
12;1203,292;;1214,017;1214,783;1210,812;1225,423;1213,935;;1236,532;;1261,342;1230,092;;1233,259;1235,048;1231,957;1235,975;1233,682;1243,338;1279,154;2366,006;;1250,022;
13;1291,513;;1304,34;1304,695;1299,866;1314,795;1304,067;;1327,698;;1353,286;1320,915;;1328,463;1326,34;1322,562;1327,335;1325,307;1335,039;1370,602;2459,279;;1342,195;
14;1380,015;;1393,44;1393,877;1388,938;1403,919;1393,391;;1418,723;;1445,016;1411,896;;1437,315;1417,368;1413,019;1418,31;1415,624;1426,859;1462,1;2553,249;;1434,697;
15;1468,6;;1483,483;1483,666;1478,229;1493,196;1483,416;;1509,558;;1536,499;1502,706;;1527,966;1508,307;1503,834;1509,243;1506,004;1518,894;1553,458;2647,596;;1527,892;
16;1557,524;;1574,431;1573,35;1567,584;1582,916;1577,517;;1600,074;;1628,005;1593,829;;1618,334;1599,201;1594,647;1605,253;1596,865;1610,823;1645,217;2742,838;;1621,348;
17;1646,188;;1663,859;1665,425;1656,709;1672,822;1685,421;;1690,953;;1719,657;1684,805;;1708,577;1690,666;1686,287;1716,16;1687,714;1703,036;1738,234;2837,994;;1714,233;
18;1734,93;;1756,523;1771,085;1745,889;1762,183;1774,244;;1783,816;;1811,469;1776,905;;1798,671;1786,832;1777,364;1805,946;1778,242;1794,879;1829,842;2932,679;;1807,622;
19;1823,757;;1863,226;1859,713;1838,833;1851,853;1862,957;;1878,003;;1903,11;1874,382;;1888,993;1897,226;1871,61;1896,535;1869,303;1886,863;1921,529;3026,941;;1900,688;
20;1916,493;;1952,176;1948,179;1946,216;1941,969;1951,994;;1988,365;;1994,804;1983,783;;1978,893;1989,328;1961,884;1986,626;1963,533;1979,768;2013,44;3125,266;;1997,519;
21;2023,38;;2040,538;2036,373;2034,775;2035,452;2040,468;;2077,989;;2086,457;2074,415;;2069,02;2079,328;2052,345;2076,326;2072,125;2076,322;2105,404;3249,436;;2112,507;
22;2111,308;;2129,217;2124,727;2123,063;2143,179;2129,163;;2167,506;;2177,939;2164,699;;2158,833;;2142,91;2165,78;2161,703;2188,021;2197,53;3343,074;;2205,271;
23;2199,19;;2217,899;2212,893;2211,317;2232,261;2217,817;;2257,225;;2269,66;2254,678;;2249,081;;2233,891;2255,15;2251,386;2279,756;2291,066;3436,322;;2297,591;
24;2287,248;;2306,897;2300,834;2299,451;2321,272;2306,613;;2346,962;;2361,092;2346,209;;2338,888;;2324,181;2345,158;2340,741;2370,961;2389,155;3530,436;;2391,621;
25;2375,225;;2395,897;2388,523;2387,519;2409,838;2395,614;;2436,758;;2452,336;2436,512;;2428,56;;2414,312;2434,631;2429,936;2462,375;2502,642;3623,78;;2483,814;
26;2462,785;;2484,225;2476,153;2475,491;2498,236;2483,934;;2529,386;;2543,484;2527,46;;2518,34;;2504,403;2523,894;2519,32;2554,495;2596,717;3716,74;;2577,042;
27;2550,458;;2572,015;2564,095;2563,472;2586,577;2572,704;;2618,571;;2634,576;2617,714;;2608,039;;2594,578;2613,473;2608,87;2645,663;2688,12;3811,222;;2668,528;
28;2637,944;;2660,777;2651,695;2651,235;2674,705;2661,858;;2708,049;;2726,648;2707,429;;2697,659;;2684,363;2702,681;2698,152;2736,692;2779,213;3906,841;;2760,226;
29;2725,498;;2748,488;2739,937;2739,194;2762,772;2749,849;;2797,415;;2817,357;2797,092;;2787,354;;2773,766;2791,894;2787,902;2829,706;2870,121;4000,787;;2852,256;
30;2812,731;;2836,126;2827,936;2826,608;2851,201;2838,051;;2886,649;;2907,971;2887,517;;2877,117;;2863,276;2881,155;2877,412;2920,408;2960,966;4095,083;;2943,673;
31;2900,02;;2923,756;2915,476;2913,977;2939,248;2925,799;;2975,823;;2999,327;2977,287;;2971,528;;2953,012;2970,367;2966,658;3011,453;3051,881;4188,903;;3034,921;
32;2987,517;;3011,502;3003,192;3001,623;3027,141;3013,576;;3065,115;;3094,562;3067,248;;3080,852;;3047,034;3059,568;3055,426;3103,816;3142,832;4283,385;;3126,586;
33;3074,609;;3099,966;3094,826;3089,809;3114,955;3101,496;;3154,35;;3205,083;3157,08;;3170,837;;;3148,505;3144,181;3194,826;3235,404;4376,264;;3218,285;
34;3162,368;;3191,37;3199,799;3180,873;3203,057;3189,492;;3243,982;;3295,072;3246,952;;3260,447;;;3237,559;3233,497;3285,653;3325,922;4468,855;;3309,882;
35;3253,581;;3297,151;3287,799;3287,248;3291,041;3277,079;;3332,76;;3385,526;3336,706;;3349,679;;;3326,662;3322,196;3381,058;3418,324;4561,155;;3401,322;
36;3359,94;;3384,656;3375,557;3376,583;3378,811;3364,808;;3422,02;;3474,807;3426,435;;3438,925;;;3415,812;3410,74;3491,501;3508,652;4653,168;;3492,738;
37;3447,797;;3472,394;3463,159;3464,048;3466,53;3455,849;;3510,951;;3564,242;3519,526;;3528,374;;;3505,048;3499,574;3581,802;3598,826;4745,234;;3583,754;
38;3534,955;;3560,3;3550,697;3551,495;3554,196;3562,574;;3600,553;;3653,231;3628,401;;3617,407;;;3594,301;3588,401;3672,385;3692,214;4837,381;;3677,9;
39;3621,959;;3647,406;3637,971;3639,095;3642,011;3650,642;;3689,822;;3742,394;3718,308;;3706,215;;;3684,144;3677,018;3762,575;3783,057;4929,502;;3789,143;
40;3709,017;;3734,347;3724,964;3726,501;3729,618;3738,332;;3782,558;;3831,442;3807,884;;3796,651;;;3778,449;3765,585;3852,966;3873,753;;;3880,338;
41;3796,065;;3821,25;3811,903;3813,744;3820,949;3825,931;;3890,138;;3920,459;3897,405;;3885,725;;;3888,483;3857,948;3943,292;3964,375;;;3973,055;
42;3883,358;;3908,25;3898,966;3900,98;3927,383;3913,747;;3978,032;;4009,449;3987,812;;3974,379;;;3977,35;3966,163;4033,485;4056,349;;;4065,784;
43;3970,64;;3995,006;3986,428;3988,63;4015,003;4001,456;;4066,657;;4098,593;4078,195;;4063,157;;;4066,269;4055,126;4123,794;4147,897;;;4159,159;
44;4057,438;;4081,897;4073,365;4076,47;4102,843;4089,255;;4156,201;;4187,503;4167,535;;4151,639;;;4155,78;4143,684;4213,953;4238,38;;;4252,465;
45;4144,986;;4168,985;4160,546;4163,697;4190,434;4176,894;;4244,874;;4276,26;4257,32;;4239,756;;;4244,365;4233,449;4303,94;4330,114;;;4344,759;
46;4232,132;;4256,153;4247,661;4251,049;4277,946;4264,296;;4333,496;;4366,219;4346,426;;4328,841;;;4333,163;4322,077;4393,781;4420,574;;;4437,595;
47;4319,605;;4343,443;4334,641;4338,493;4365,273;4351,959;;4422,698;;4454,962;4435,517;;4417,11;;;4423,541;4410,888;4484,01;4514,753;;;4530,059;
48;4406,797;;4430,098;4421,675;4425,725;4452,466;4439,613;;4510,955;;4543,795;4524,741;;4505,211;;;4513,021;4499,376;4574,044;4605,75;;;4621,504;
49;4493,354;;4516,713;4508,631;4513,715;4539,884;4527,21;;4598,428;;4632,172;4614,277;;4593,307;;;4603,033;4587,733;4664,049;4696,815;;;4712,851;
50;4580,773;;4603,58;4595,486;4600,906;4627,307;4614,797;;4685,871;;4720,971;4704,272;;4681,532;;;4693,216;4676,524;4753,688;4786,64;;;4806,062;
51;4668,106;;4690,549;4682,257;4688,435;4714,709;4702,474;;4772,766;;4809,867;4793,206;;4770,767;;;4781,418;4765,613;4847,072;4878,239;;;4896,845;
52;4755,762;;4776,736;4768,464;4775,678;4802,241;4790,418;;4859,687;;4898,443;4882,769;;4858,821;;;4870,095;4854,891;;;;;;
53;4846,172;;4863,589;4855,762;4863,081;4889,165;4878,849;;;;;;;;;;;;;;;;;
